# Solver information
# Time        	alpha.grout_solver	alpha.grout_initial	alpha.grout_final	alpha.grout_iters	alpha.grout_converged	p_rgh_solver  	p_rgh_initial 	p_rgh_final   	p_rgh_iters   	p_rgh_converged
8.2           	smoothSolver	1.030550e-08	3.408620e-17	1	true	DICPCG	7.414100e-08	7.414100e-08	0	true
8.3           	smoothSolver	1.214940e-08	3.416140e-17	1	true	DICPCG	8.258490e-08	8.258490e-08	0	true
8.4           	smoothSolver	1.384690e-08	3.375740e-17	1	true	DICPCG	9.142450e-08	9.142450e-08	0	true
8.5           	smoothSolver	1.542360e-08	3.437690e-17	1	true	DICPCG	1.003320e-07	8.496510e-08	37	true
8.6           	smoothSolver	2.851460e-08	3.415480e-17	1	true	DICPCG	6.241710e-08	6.241710e-08	0	true
8.7           	smoothSolver	6.719570e-08	3.338110e-17	1	true	DICPCG	9.461190e-08	9.461190e-08	0	true
8.8           	smoothSolver	1.026260e-07	3.376370e-17	1	true	DICPCG	1.256110e-07	8.794210e-08	40	true
8.9           	smoothSolver	1.943730e-07	3.397320e-17	1	true	DICPCG	5.494200e-08	5.494200e-08	0	true
9             	smoothSolver	4.638830e-07	3.440570e-17	1	true	DICPCG	8.894080e-08	8.894080e-08	0	true
9.1           	smoothSolver	7.131210e-07	3.658270e-17	1	true	DICPCG	1.216720e-07	8.191230e-08	41	true
9.2           	smoothSolver	1.361620e-06	7.178660e-17	1	true	DICPCG	2.051410e-08	2.051410e-08	0	true
9.3           	smoothSolver	3.252610e-06	6.986660e-16	1	true	DICPCG	3.171110e-08	3.171110e-08	0	true
9.4           	smoothSolver	5.005590e-06	2.578550e-15	1	true	DICPCG	1.178690e-07	9.945450e-08	40	true
9.5           	smoothSolver	9.639690e-06	1.767280e-14	1	true	DICPCG	2.758670e-08	2.758670e-08	0	true
9.6           	smoothSolver	2.309280e-05	2.420750e-13	1	true	DICPCG	4.294700e-08	4.294700e-08	0	true
9.7           	smoothSolver	3.561770e-05	9.114810e-13	1	true	DICPCG	9.168030e-07	8.230520e-08	41	true
9.8           	smoothSolver	6.864480e-05	6.793930e-12	1	true	DICPCG	1.635930e-08	1.635930e-08	0	true
9.9           	smoothSolver	1.645580e-04	9.756810e-11	1	true	DICPCG	2.190720e-08	2.190720e-08	0	true
10            	smoothSolver	2.537970e-04	3.677070e-10	1	true	DICPCG	2.178040e-06	8.992650e-08	48	true
